Country,Land Area sq km,Coastline km,Border Length km,Waterways km
Afghanistan,652230,0,5987,1200
Albania,28748,362,691,41
Algeria,2381740,998,6734,0
Angola,1246700,1600,5369,1300
Argentina,2780400,4989,11968,11000
Armenia,29743,0,1570,0
Australia,7741220,25760,0,2000
Austria,83871,0,2524,358
Azerbaijan,86600,713,2468,0
Bahrain,760,161,0,0
Bangladesh,148460,580,4413,8370
Belarus,207600,0,3599,2500
Belgium,30528,67,1297,2043
Beliz,22966,386,542,825
Benin,112622,121,2123,150
Bhutan,38394,0,1136,0
Bolivia,1098581,0,7252,10000
Bosnia and Herzegovina,51197,20,1543,990
Botswana,581730,0,4347,0
Brazil,8515770,7491,16145,50000
Bulgaria,110880,354,1806,470
Burkina Faso,274200,0,3611,0
Cambodia,181035,443,2530,3700
Cameroon,475440,400,5018,0
Canada,9984670,202080,8893,636
Central African Republic,622984,0,5920,2800
Chad,1284000,0,6406,12400
Chile,756102,6435,7801,12290
China,9596960,14500,22457,27700
Colombia,1138910,3208,6672,24725
Croatia,56594,5835,2237,4714
Cuba,110860,3735,29,240
Czechia,78867,0,2046,664
Democratic Republic of the Congo,2344858,37,10481,15000
Denmark,43094,7314,140,400
Dominican Republic,48320,1288,376,0
Ecuador,283560,2237,2237,1500
Egypt,1001450,2450,2612,3500
El Salvador,21041,307,590,422
Eritrea,117600,2234,1840,0
Estonia,45228,3794,657,335
Ethiopia,1104300,0,5925,0
Finland,338145,1250,2563,8000
France,643801,4853,4072,8501
Gabon,267667,885,3261,1600
Georgia,69700,310,1814,0
Germany,357022,2389,3694,7300
Ghana,238533,539,2420,1293
Greece,131957,13676,1110,6
Guatemala,108889,400,1667,990
Honduras,112090,832,1575,465
Hungary,103000,0,2106,1622
Iceland,100250,4970,0,0
India,3287263,7000,13888,14500
Indonesia,1904569,54716,2958,21579
Iran,1648195,2440,5894,850
Iraq,438317,58,3809,5279
Ireland,70273,1448,443,956
Israel,21937,273,1068,0
Italy,301340,7600,1836,2400
Ivory Coast,322463,515,3458,980
Japan,377915,29751,0,1770
Jordan,89342,26,1744,0
Kazakhstan,2724900,26,13364,43983
Kenya,580367,536,3457,0
Kosovo,10887,0,714,0
Kuwait,17818,499,475,0
Kyrgyzstan,199951,0,4573,576
Laos,236800,0,5274,4600
Latvia,64589,498,1370,300
Lebanon,10400,225,484,0
Liberia,111369,579,1667,0
Libya,1759540,1770,4339,0
Lithuania,65300,90,1545,441
Luxembourg,2586,0,327,37
Madagascar,587040,4828,0,600
Malaysia,329847,4675,2742,7200
Mali,1240192,0,7908,1800
Mauritania,1030700,754,5002,1086
Mexico,1964375,9330,4389,2900
Moldova,33851,0,1885,558
Mongolia,1564116,0,8082,580
Montenegro,13812,294,680,0
Morocco,715550,1835,2363,0
Mozambique,799380,2470,4783,460
Myanmar,676578,1930,6522,12800
Namibia,824292,1572,4220,0
Nepal,147181,0,3159,0
Netherlands,41543,451,1053,6237
New Zealand,268838,15134,0,0
Nicaragua,130370,910,1253,2220
Niger,1267000,0,5834,300
Nigeria,923768,853,4477,8600
North Korea,120538,2495,1607,2250
North Macedonia,25713,0,838,0
Norway,323802,25148,2566,1577
Oman,309500,2092,1561,0
Pakistan,796095,1046,7257,0
Panama,75420,2490,687,800
Paraguay,406752,0,4655,3100
Peru,1285216,2414,7062,8808
Philippines,300000,36289,0,3219
Poland,312685,440,2845,3997
Portugal,92090,1793,1224,764
Qatar,11586,563,87,0
Republic of the Congo,342000,169,5008,1120
Romania,238391,225,2844,1731
Russia,17098242,37653,22407,102000
Saudi Arabia,2149690,2640,4272,0
Senegal,196722,531,2684,1000
Serbia,77474,0,2322,587
Sierra Leone,71740,402,1093,800
Singapore,719,193,0,0
Slovakia,49035,0,1587,172
Slovenia,20273,47,1211,710
Somalia,637657,3025,2385,0
South Africa,1219090,2798,5244,0
South Korea,99720,2413,237,1600
South Sudan,644329,0,6018,0
Spain,505370,4964,1953,1000
Sri Lanka,65610,1340,0,160
Sudan,1861484,853,6819,4068
Suriname,163820,386,1907,1200
Sweden,450295,3218,2211,2052
Switzerland,41277,0,1770,1292
Syria,187437,193,2363,900
Taiwan,35980,1566,0,0
Tajikistan,144100,0,4130,200
Tanzania,947300,1424,4161,0
Thailand,513120,3219,5673,4000
Tunisia,163610,1148,1495,0
Turkiye,783562,7200,2816,1200
Turkmenistan,488100,1768,4158,1300
Uganda,241038,0,2729,0
Ukraine,603550,2782,5581,1672
United Arab Emirates,83600,1318,1066,0
United Kingdom,243610,12429,499,3200
United States,9833517,19924,12002,41009
Uruguay,176215,660,1591,1600
Uzbekistan,447400,420,6893,1100
Venezuela,912050,2800,5267,7100
Vietnam,331210,3444,4616,47130
Yemen,527968,1906,1601,0
Zambia,752618,0,6043,0
Zimbabwe,390757,0,3229,0
